DOF Gross Floor Area,Largest Property Use Type - Gross Floor Area (ft²),score,Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Weather Normalized Source EUI (kBtu/ft²),Natural Gas Use (kBtu),Weather Normalized Site Natural Gas Use (therms),Electricity Use - Grid Purchase (kBtu),Weather Normalized Site Electricity (kWh),Total GHG Emissions (Metric Tons CO2e),Direct GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions (Metric Tons CO2e),Property GFA - Self-Reported (ft²),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft²),Source EUI (kBtu/ft²),Latitude,Longitude,Community Board,Council District,Census Tract
1485916.0,322355.0,100.0,15.3,14.8,3.8,0.0,42.6,563900.0,5792.9,4355622.6,1224302.3,434.2,30.0,404.2,322355.0,,,44.3,40.729113,-73.997507,2.0,1.0,5501.0
1485916.0,322571.0,100.0,18.2,17.5,4.6,0.0,51.1,571800.0,5827.5,5285841.5,1482158.3,520.9,30.4,490.5,322571.0,,,53.3,40.729113,-73.997507,2.0,1.0,5501.0
153348.0,144268.0,100.0,4.5,4.5,0.0,0.0,4.7,645900.0,6459.0,0.0,0.0,34.3,34.3,0.0,144268.0,,,4.7,40.730236,-74.000274,2.0,1.0,65.0
,76964.0,100.0,5.4,5.4,1.2,0.0,14.0,103300.0,1033.0,308990.7,90560.0,34.2,5.5,28.7,76964.0,,,14.0,,,,,
116237.0,169984.0,100.0,12.3,13.0,,0.1,13.6,2574200.0,27199.4,,,136.7,136.7,0.0,209364.0,,,12.9,40.730925,-73.995364,2.0,1.0,59.0
179800.0,182714.0,100.0,19.3,19.3,4.2,0.0,50.5,887700.0,8877.0,2639386.3,773559.8,292.1,47.2,244.9,182714.0,,,50.5,40.731408,-73.999307,2.0,1.0,65.0
,305587.0,1.0,184.3,183.7,4.8,1.7,227.4,51080100.2,510801.0,5240593.0,1481027.6,3199.4,2713.1,486.3,305587.0,,,229.4,,,,,
56756.0,60828.0,77.0,127.6,133.4,,,160.5,,,,,515.2,0.0,515.2,60828.0,6595.4,108.43,153.5,40.732,-73.985185,3.0,2.0,40.0
192939.0,200261.0,59.0,93.6,99.2,9.9,0.5,173.9,8996806.0,97764.0,6744127.4,1976590.4,1325.9,700.1,625.9,200261.0,,,168.0,40.911797,-73.907008,8.0,11.0,309.0
70734.0,40000.0,23.0,164.9,175.5,15.9,0.0,292.9,6037.0,63.3,4053230.9,1146228.0,964.6,588.4,376.1,72000.0,1460.7,20.29,286.4,40.690419,-73.98519,2.0,33.0,37.0
59131.0,54100.0,100.0,2.6,2.6,0.6,0.0,7.1,30200.0,302.0,111531.5,32688.0,12.0,1.6,10.4,54100.0,7874.7,145.56,7.1,40.805505,-73.965739,9.0,7.0,199.0
88332.0,88332.0,61.0,145.0,159.9,2.1,1.5,183.1,12136000.3,134783.5,675576.0,188516.6,707.3,644.6,62.7,88332.0,11388.6,128.93,168.3,40.805862,-73.965478,9.0,7.0,199.0
178897.0,188572.0,100.0,29.8,29.8,0.9,0.0,36.4,92600.0,926.0,563935.4,165280.0,425.0,372.7,52.3,188572.0,,,36.4,40.80618,-73.965251,9.0,7.0,199.0
87271.0,87260.0,58.0,100.8,100.8,1.0,1.0,112.8,8507999.8,85080.0,290293.0,85080.0,478.8,451.9,26.9,87260.0,6990.5,80.11,112.8,40.808838,-73.959574,9.0,7.0,20701.0
87979.0,89091.0,100.0,17.2,17.2,1.2,0.1,26.5,1177500.0,11775.0,351340.5,105215.1,95.1,62.5,32.6,89091.0,2659.3,29.85,26.3,40.809066,-73.959408,9.0,7.0,20701.0
54100.0,53676.0,100.0,3.4,3.4,1.0,,10.8,,,184186.6,53982.0,17.1,0.0,17.1,53676.0,1757.2,32.74,10.8,40.80822,-73.958379,9.0,7.0,20701.0
53352.0,50292.0,100.0,5.5,5.5,1.4,0.0,15.6,39900.0,399.0,235728.3,69088.0,24.0,2.1,21.9,50292.0,4099.9,81.52,15.6,40.808269,-73.958502,9.0,7.0,20701.0
64842.0,62334.0,85.0,78.9,78.9,1.2,0.7,91.1,4668999.9,46690.0,248796.2,72248.9,271.1,248.0,23.1,62334.0,3275.7,52.55,91.2,40.808832,-73.958021,9.0,7.0,20701.0
540388.0,3800.0,45.0,124.1,132.0,23.8,0.5,308.2,163200.7,1931.0,308465.1,90405.9,37.3,8.7,28.6,3800.0,,,300.0,40.869429,-73.825737,10.0,12.0,46201.0
1259938.0,1385656.0,3.0,175.4,174.0,,1.7,182.7,243056197.6,2410708.7,,,12909.9,12909.9,0.0,1385656.0,163058.3,117.68,184.2,40.580944,-73.971484,13.0,47.0,354.0
1800000.0,1989288.0,2.0,181.6,179.9,,1.8,188.9,361225620.2,3579349.9,,,19186.4,19186.4,0.0,1989288.0,82766.0,41.61,190.7,40.581135,-73.967434,13.0,47.0,35601.0
,89506.0,80.0,76.4,81.0,10.9,0.4,162.7,3516912.5,39262.7,3325632.2,974686.9,495.4,186.8,308.6,89506.0,3236.1,36.15,157.9,,,,,
